timestamp,equity,cash,positions
2022-07-13,100000,100000,{}
2022-07-14,100000,100000,{}
2022-07-15,100000,100000,{}
2022-07-16,100000,100000,{}
2022-07-17,100000,100000,{}
2022-07-18,100000,100000,{}
2022-07-19,100000,100000,{}
2022-07-20,100000,100000,{}
2022-07-21,100000,100000,{}
2022-07-22,100000,100000,{}
2022-07-23,100000,100000,{}
2022-07-24,100000,100000,{}
2022-07-25,100000,100000,{}
2022-07-26,100000,100000,{}
2022-07-27,100000,100000,{}
2022-07-28,100000,100000,{}
2022-07-29,100000,100000,{}
2022-07-30,100000,100000,{}
2022-07-31,100000,100000,{}
2022-08-01,100000,100000,{}
2022-08-02,100000,100000,{}
2022-08-03,100000,100000,{}
2022-08-04,100000,100000,{}
2022-08-05,100000,100000,{}
2022-08-06,100000,100000,{}
2022-08-07,100000,100000,{}
2022-08-08,100000,100000,{}
2022-08-09,100000,100000,{}
2022-08-10,100000,100000,{}
2022-08-11,100000,100000,{}
2022-08-12,100000,100000,{}
2022-08-13,100000,100000,{}
2022-08-14,100000,100000,{}
2022-08-15,100000,100000,{}
2022-08-16,100000,100000,{}
2022-08-17,100000,100000,{}
2022-08-18,100000,100000,{}
2022-08-19,100000,100000,{}
2022-08-20,100000,100000,{}
2022-08-21,100000,100000,{}
2022-08-22,100000,100000,{}
2022-08-23,100000,100000,{}
2022-08-24,100000,100000,{}
2022-08-25,100000,100000,{}
2022-08-26,100000,100000,{}
2022-08-27,100000,100000,{}
2022-08-28,100000,100000,{}
2022-08-29,100000,100000,{}
2022-08-30,100000,100000,{}
2022-08-31,100000,100000,{}
2022-09-01,100000,100000,{}
2022-09-02,100000,100000,{}
2022-09-03,100000,100000,{}
2022-09-04,100000,100000,{}
2022-09-05,100000,100000,{}
2022-09-06,100000,100000,{}
2022-09-07,100000,100000,{}
2022-09-08,100000,100000,{}
2022-09-09,100000,100000,{}
2022-09-10,100000,100000,{}
2022-09-11,100000,100000,{}
2022-09-12,100000,100000,{}
2022-09-13,100000,100000,{}
2022-09-14,100000,100000,{}
2022-09-15,100000,100000,{}
2022-09-16,100000,100000,{}
2022-09-17,100000,100000,{}
2022-09-18,100000,100000,{}
2022-09-19,100000,100000,{}
2022-09-20,100000,100000,{}
2022-09-21,100000,100000,{}
2022-09-22,100000,100000,{}
2022-09-23,100000,100000,{}
2022-09-24,100000,100000,{}
2022-09-25,100000,100000,{}
2022-09-26,100000,100000,{}
2022-09-27,100000,100000,{}
2022-09-28,100000,100000,{}
2022-09-29,100000,100000,{}
2022-09-30,100000,100000,{}
2022-10-01,100000,100000,{}
2022-10-02,100000,100000,{}
2022-10-03,100000,100000,{}
2022-10-04,100000,100000,{}
2022-10-05,100000,100000,{}
2022-10-06,100000,100000,{}
2022-10-07,100000,100000,{}
2022-10-08,100000,100000,{}
2022-10-09,100000,100000,{}
2022-10-10,100000,100000,{}
2022-10-11,100000,100000,{}
2022-10-12,100000,100000,{}
2022-10-13,100000,100000,{}
2022-10-14,100000,100000,{}
2022-10-15,100000,100000,{}
2022-10-16,100000,100000,{}
2022-10-17,100000,100000,{}
2022-10-18,100000,100000,{}
2022-10-19,100000,100000,{}
2022-10-20,100000,100000,{}
