timestamp,signal,price,direction,system,log_time,bar_timestamp,symbol
2025-04-02 11:42:33.326240-04:00,0,563.73,FLAT,live,2025-04-02T11:42:33.342996,2025-04-02 11:42:33.326240,SPY
2025-04-02 11:43:00.142090-04:00,0,563.49,FLAT,live,2025-04-02T11:43:00.202375,2025-04-02 11:43:00.142090,SPY
2025-04-02 11:43:33.360033-04:00,0,563.23,FLAT,live,2025-04-02T11:43:33.380964,2025-04-02 11:43:33.360033,SPY
2025-04-02 11:43:33.490709-04:00,0,563.23,FLAT,live,2025-04-02T11:43:33.508121,2025-04-02 11:43:33.490709,SPY
2025-04-02 11:44:00.146377-04:00,0,563.14,FLAT,live,2025-04-02T11:44:00.196062,2025-04-02 11:44:00.146377,SPY
2025-04-02 11:44:33.525455-04:00,0,563.1,FLAT,live,2025-04-02T11:44:33.545434,2025-04-02 11:44:33.525455,SPY
2025-04-02 11:44:33.653536-04:00,0,563.1,FLAT,live,2025-04-02T11:44:33.670901,2025-04-02 11:44:33.653536,SPY
2025-04-02 11:45:00.004443-04:00,0,563.42,FLAT,live,2025-04-02T11:45:00.055886,2025-04-02 11:45:00.004443,SPY
2025-04-02 11:45:33.686840-04:00,0,563.37,FLAT,live,2025-04-02T11:45:33.707670,2025-04-02 11:45:33.686840,SPY
2025-04-02 11:45:33.816859-04:00,0,563.37,FLAT,live,2025-04-02T11:45:33.833574,2025-04-02 11:45:33.816859,SPY
2025-04-02 11:46:00.131185-04:00,0,563.41,FLAT,live,2025-04-02T11:46:00.185245,2025-04-02 11:46:00.131185,SPY
2025-04-02 11:46:33.926432-04:00,0,563.45,FLAT,live,2025-04-02T11:46:33.946813,2025-04-02 11:46:33.926432,SPY
2025-04-02 11:46:34.061610-04:00,0,563.45,FLAT,live,2025-04-02T11:46:34.078025,2025-04-02 11:46:34.061610,SPY
2025-04-02 11:47:34.102065-04:00,0,562.93,FLAT,live,2025-04-02T11:47:34.122802,2025-04-02 11:47:34.102065,SPY
2025-04-02 11:47:34.240781-04:00,0,562.93,FLAT,live,2025-04-02T11:47:34.258951,2025-04-02 11:47:34.240781,SPY
2025-04-02 11:48:00.141970-04:00,0,562.9,FLAT,live,2025-04-02T11:48:00.200026,2025-04-02 11:48:00.141970,SPY
2025-04-02 11:48:34.258959-04:00,0,563.21,FLAT,live,2025-04-02T11:48:34.280822,2025-04-02 11:48:34.258959,SPY
2025-04-02 11:48:34.388927-04:00,0,563.21,FLAT,live,2025-04-02T11:48:34.407449,2025-04-02 11:48:34.388927,SPY
2025-04-02 11:49:00.173707-04:00,0,563.21,FLAT,live,2025-04-02T11:49:00.225140,2025-04-02 11:49:00.173707,SPY
2025-04-02 11:49:34.420231-04:00,0,563.015,FLAT,live,2025-04-02T11:49:34.441996,2025-04-02 11:49:34.420231,SPY
2025-04-02 11:49:34.550546-04:00,0,563.015,FLAT,live,2025-04-02T11:49:34.568224,2025-04-02 11:49:34.550546,SPY
